Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,10,2/28/16,3/5/16,"128,536","2,636"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,23,5/31/15,6/6/15,"230,785","6,006"
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,40,9/25/16,10/1/16,"13,847",329
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,48,11/20/16,11/26/16,"86,170","2,484"
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,18,4/24/16,4/30/16,"1,077",30
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,10,2/28/16,3/5/16,"1,025",27
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2017,4,1/22/17,1/28/17,"57,514","1,244"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,14,3/27/16,4/2/16,"48,395","1,133"
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,26,6/19/16,6/25/16,"2,810",62
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,12,3/13/16,3/19/16,"5,966",122
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,30,7/17/16,7/23/16,"14,208",312
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,4,1/18/15,1/24/15,"13,432",446
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2015,37,9/6/15,9/12/15,51,1
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,19,5/1/16,5/7/16,"3,248",61
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,53,12/27/15,12/31/15,"134,686","5,851"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,53,12/25/16,12/31/16,"15,393",367
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,33,8/9/15,8/15/15,"52,663","1,296"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,13,3/20/16,3/26/16,"3,431",68
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,24,6/5/16,6/11/16,"13,038",276
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,27,6/28/15,7/4/15,"49,170","1,832"
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,37,9/6/15,9/12/15,"73,778","1,682"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,29,7/10/16,7/16/16,"16,772",367
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,2,1/3/16,1/9/16,356,12
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2015,36,8/30/15,9/5/15,38,1
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,22,5/22/16,5/28/16,"9,829",542
B02617,1,WEITER LLC,UBER-WEITER LLC,2017,14,4/2/17,4/8/17,"47,583","1,174"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2017,7,2/12/17,2/18/17,"210,491","4,540"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,6,1/31/16,2/6/16,"3,313",67
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2017,5,1/29/17,2/4/17,"118,302","2,912"
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,40,9/25/16,10/1/16,"54,138","1,325"
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,27,6/26/16,7/2/16,"56,070","1,468"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,22,5/22/16,5/28/16,"283,525","7,368"
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,26,6/19/16,6/25/16,"15,496",786
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2017,4,1/22/17,1/28/17,"71,765","1,486"
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,29,7/10/16,7/16/16,"3,490",70
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,45,10/30/16,11/5/16,"32,596",683
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,47,11/13/16,11/19/16,"18,220",377
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,16,4/10/16,4/16/16,"7,233",197
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2015,53,12/27/15,12/31/15,"8,953",344
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,7,2/7/16,2/13/16,"17,305",730
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,18,4/24/16,4/30/16,"6,670",207
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,49,11/27/16,12/3/16,"16,846",349
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,9,2/21/16,2/27/16,"5,568",105
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2017,4,1/22/17,1/28/17,"19,418",412
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,22,5/22/16,5/28/16,"11,355",277
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,5,1/24/16,1/30/16,"6,537",184
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,40,9/25/16,10/1/16,"14,843",307
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,49,11/27/16,12/3/16,"21,959",458
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,3,1/10/16,1/16/16,"2,424",53
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,40,9/25/16,10/1/16,"22,086",499
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,11,3/6/16,3/12/16,"1,515",32
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2017,9,2/26/17,3/4/17,"149,814","3,175"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,27,6/26/16,7/2/16,"57,193","1,439"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,15,4/5/15,4/11/15,"112,593","2,663"
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2015,41,10/4/15,10/10/15,635,21
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,25,6/12/16,6/18/16,"11,132",270
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,10,2/28/16,3/5/16,"7,235",200
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,34,8/14/16,8/20/16,"10,652",266
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,29,7/10/16,7/16/16,"12,155",572
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,33,8/9/15,8/15/15,"61,562","1,604"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,47,11/15/15,11/21/15,"290,171","6,388"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2015,42,10/11/15,10/17/15,383,7
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,23,5/29/16,6/4/16,"9,078",232
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,11,3/6/16,3/12/16,"11,537",289
B02598,1,HINTER LLC,UBER-HINTER LLC,2015,49,11/29/15,12/5/15,"9,985",995
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,1,1/1/16,1/2/16,294,24
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,11,3/6/16,3/12/16,"2,974",66
